Item,Type of Bagel,Extra item, Price($) per item,Total Price($) including tax,Ingredients,Calories
Bacon/Cheddar cheese/Egg,plain,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,"Bacon, Egg, Cheddar cheese",500
Cheddar cheese/Egg,plain,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,"Cheddar cheese, egg",430
Ham/Swiss cheese/Egg,Plain,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,"ham, swiss cheese, egg",470
Garden Avo 1 Egg,Everything,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,"Avacado, tomato shmear, tomato, spinach, egg",510
Turk sausage/cheddar cheese/Egg,plain,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,"Turkey sausage, cheddar cheese, egg",520
Cheese pizza bagel,plain,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,"tomato sauce, pizza cheese, caesar cheese",450
Pepperoni pizza bagel,plain,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,"tomato sauce, pizza cheese, caesar cheese, 10 pepperoni slices",540
2 Bagels with cream cheese,Plain or Asiago or Honey whole wheat or cinnamon or wild blueberry or chocolate or everything or sesame,Dasani water 16.9oz or coffee regular hot or hot tea ,8.25,8.75,plain cream cheese or jalapeno creasm cheese or strawberry cream cheese or honey almond crteam cheese or veggie cream cheese or onion chive cream cheese,800
