Meal Period,Category,Item Name,Portion,Description,Calories,Ingredients,Nutrients,Filters
Every Day,Rice Bowls,Halal Chicken Rice Bowl,1 Bowl,"Halal chicken rice bowl with, tomato, onions, lettuce and your choice of sauce.",570,N/A,"Calories: 570.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Rice Bowls,Halal Rice Bowl with Beef,1 bowl,"Halal beef rice bowl with tomato, lettuce, onion and sauce of your choice",590,N/A,"Calories: 590.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Rice Bowls,Halal Hummus Rice Bowl,1 bowl,"Halal hummus rice bowl with tomato, lettuce, onion and sauce of your choice",360,N/A,"Calories: 360.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Rice Bowls,Halal Rice Bowl with Falafel,1 bowl,"Halal falafel rice bowl with tomato, lettuce, onion and sauce of your choice",490,N/A,"Calories: 490.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Rice Bowls,Halal Beef & Chicken Rice Bowl,1 bowl,"Halal beef & chicken rice bowl with tomato, lettuce, onion and sauce of your choice",580,N/A,"Calories: 580.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Rice Bowls,Naan with Rice Bowl,1 piece,Naan bread slice,89,N/A,"Calories: 89.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Naan Roll,Halal Chicken Naan Roll,1 Roll,"Naan roll with Halal chicken, tomatoes, onion, lettuce and choice of sauce",667,N/A,"Calories: 667.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Naan Roll,Halal Beef Naan Roll,1 Roll,"Naan roll with Halal beef, tomatoes, onion, lettuce and choice of sauce",760,N/A,"Calories: 760.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
Every Day,Sauces,Sauces,1 serving,"choose from White, Hot White, Tahini, Green, BBQ. Ranging from 5-80 calories per serving.",80,N/A,"Calories: 80.0 , Fat Calories: None , Total Fat: None , Saturated Fat: None , Trans Fat: None , Cholesterol: None , Sodium: None , Potassium: None , Total Carbohydrates: None , Dietary Fiber: None , Sugars: None , Protein: None , Vitamin A: None , Vitamin C: None , Calcium: None , Iron: None ",
